,Neighborhood,Price
295,"Chinatown - Leather District, Boston","$3,951"
296,"Cambridge Highlands, Cambridge","$2,975"
297,"Thompson Square - Bunker Hill, Charlestown, Boston","$2,295"
298,"Downtown Boston, Boston","$3,050"
299,"Thompsonville, Newton","$2,200"
300,"Medical Center Area, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,707"
301,"Lower Roxbury, Roxbury, Boston","$2,300"
302,"Downtown Boston, Boston","$3,450"
303,"Bay Village, Boston","$3,575"
304,"Central Maverick Square - Paris Street, East Boston, Boston","$2,760"
305,"Downtown Melrose, Melrose","$2,265"
306,"Cambridge Highlands, Cambridge","$2,957"
307,"Oak Square, Brighton, Boston","$2,250"
308,"Downtown Boston, Boston","$2,800"
309,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,014"
310,"West Newton, Newton","$2,100"
311,"Central Maverick Square - Paris Street, East Boston, Boston","$3,045"
312,"Cummingsville, Woburn","$1,545"
313,"St. Elizabeth's, Brighton, Boston","$2,000"
314,"Prudential - St. Botolph, Back Bay, Boston","$3,700"
315,"Centralville, Lowell","$1,000"
316,"Lower Roxbury, Roxbury, Boston","$2,900"
317,"Watertown West End, Watertown Town","$2,250"
318,"Washington Square, Brookline","$2,225"
319,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,009"
320,"Lakeview, Waltham","$1,700"
321,"North End, Boston","$3,040"
322,"Auburndale, Newton","$1,950"
323,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,104"
324,"St. Elizabeth's, Brighton, Boston","$1,950"
325,"Washington Square, Brookline","$2,200"
326,"Washington Square, Brookline","$2,250"
327,"D Street - West Broadway, South Boston, Boston","$3,049"
328,"Mid-Cambridge, Cambridge","$2,000"
329,"Mid-Cambridge, Cambridge","$1,900"
330,"St. Elizabeth's, Brighton, Boston","$1,550"
331,"St. Elizabeth's, Brighton, Boston","$2,150"
332,"General Donovan, Lawrence","$1,750"
333,"Cleveland Circle, Brookline","$1,600"
334,"St. Elizabeth's, Brighton, Boston","$2,135"
335,Dracut,"$1,250"
336,"Prudential - St. Botolph, Back Bay, Boston","$2,500"
337,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,233"
338,"Riverside, Cambridge","$4,995"
339,"Mission Hill, Boston","$3,500"
340,"St. Elizabeth's, Brighton, Boston","$2,100"
341,"Washington Square, Brookline","$2,100"
342,"Lakeview, Waltham","$2,260"
343,"Prudential - St. Botolph, Back Bay, Boston","$2,600"
344,"Prudential - St. Botolph, Back Bay, Boston","$3,900"
345,"South Quincy, Quincy","$1,700"
346,"St. Elizabeth's, Brighton, Boston","$1,950"
347,"Washington Square, Brookline","$1,950"
348,"Commonwealth, Brighton, Boston","$2,225"
349,"Centralville, Lowell",$900
350,"Prudential - St. Botolph, Back Bay, Boston","$3,015"
351,"Havenville, Burlington","$1,595"
352,"North End, Boston","$2,890"
353,"Downtown Boston, Boston","$3,025"
354,"Auburndale, Newton","$2,100"
355,"Jeffries Point - Airport, East Boston, Boston","$3,000"
356,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,300"
357,South Salem,"$1,400"
358,"Cummingsville, Woburn","$1,945"
359,"Commonwealth, Brighton, Boston","$2,150"
360,"Commonwealth, Brighton, Boston","$2,150"
361,"Proctor, Peabody","$1,795"
362,Rowley,"$1,280"
363,"Allston, Boston","$3,100"
364,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,090"
365,"Downtown Boston, Boston","$3,663"
366,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,950"
367,"Downtown Boston, Boston","$3,985"
368,"West End, Boston","$3,020"
369,"Malden Center, Malden","$1,825"
370,"Oak Square, Brighton, Boston","$1,800"
371,"Oak Square, Brighton, Boston","$2,300"
372,"St. Elizabeth's, Brighton, Boston","$1,900"
373,"St. Elizabeth's, Brighton, Boston","$1,595"
374,"St. Elizabeth's, Brighton, Boston","$1,600"
375,"South Weymouth, Weymouth Town","$1,400"
376,"South Weymouth, Weymouth Town","$1,850"
377,"Telegraph Hill, South Boston, Boston","$3,290"
378,"Angleside, Waltham","$1,720"
379,"St. Elizabeth's, Brighton, Boston","$1,595"
380,"St. Elizabeth's, Brighton, Boston","$1,600"
381,"St. Elizabeth's, Brighton, Boston","$1,835"
382,"Upper Washington - Spring Street, West Roxbury, Boston","$1,231"
383,"Oak Square, Brighton, Boston","$1,950"
384,"Oak Square, Brighton, Boston","$1,950"
385,"Davis Square, Somerville","$2,900"
386,"West Revere, Malden","$2,183"
387,"Commonwealth, Brighton, Brookline","$1,600"
388,"Commonwealth, Brighton, Boston","$1,735"
389,"Metropolitan Hill - Beach Street, Roslindale, Boston","$2,185"
390,"Coolidge Corner, Boston","$1,800"
391,"St. Elizabeth's, Brighton, Boston","$1,900"
392,"Lakeview, Waltham","$2,795"
393,"Angleside, Waltham","$1,700"
394,"Commonwealth, Brighton, Boston","$1,900"
395,"Brookline Village, Brookline","$2,200"
396,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,250"
397,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,250"
398,"North Woburn, Woburn","$1,650"
399,"Follen Heights, Lexington","$1,875"
400,"St. Elizabeth's, Brighton, Boston","$1,750"
401,"West Revere, Malden","$3,243"
402,"Lakeview, Waltham","$1,895"
403,"South Weymouth, Weymouth Town","$1,600"
404,"Downtown Lowell, Lowell","$1,315"
405,"St. Elizabeth's, Brighton, Boston","$1,950"
406,"Coolidge Corner, Brookline","$2,095"
407,"Cambridgeport, Cambridge","$2,050"
408,"Prudential - St. Botolph, Back Bay, Boston","$4,275"
409,"Coolidge Corner, Brookline","$1,750"
410,"Washington Square, Brookline","$1,800"
411,"Commonwealth, Brighton, Boston","$1,845"
412,"Metropolitan Hill - Beach Street, Roslindale, Boston","$1,942"
413,"Metropolitan Hill - Beach Street, Roslindale, Boston","$2,063"
414,"Industrial Park, Somerville","$3,095"
415,"Chinatown - Leather District, Boston","$3,645"
416,"St. Elizabeth's, Brighton, Boston","$1,995"
417,"St. Elizabeth's, Brighton, Boston","$2,050"
418,"Commonwealth, Brighton, Boston","$2,225"
419,"Commonwealth, Brighton, Boston","$2,235"
420,"Commonwealth, Brighton, Boston","$2,240"
421,"Commonwealth, Brighton, Boston","$2,135"
422,"St. Elizabeth's, Brighton, Boston","$1,550"
423,"Coolidge Corner, Boston","$1,600"
424,"Downtown Lowell, Lowell","$1,306"
425,"North Allston, Allston, Boston","$2,750"
426,"Coolidge Corner, Boston","$1,600"
427,"Quincy Point, Quincy","$1,560"
428,"North Cambridge, Cambridge","$2,835"
429,"North Cambridge, Cambridge","$2,495"
430,"Metropolitan Hill - Beach Street, Roslindale, Boston","$1,303"
431,"St. Elizabeth's, Brighton, Boston","$2,100"
432,"Commonwealth, Brighton, Boston","$2,255"
433,"Telegraph Hill, South Boston, Boston","$2,065"
434,"Angleside, Waltham","$1,201"
435,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,524"
436,Billerica,"$1,595"
437,"Upper Washington - Spring Street, West Roxbury, Boston","$1,426"
438,"Commonwealth, Brighton, Boston","$1,800"
439,"Commonwealth, Brighton, Boston","$2,000"
440,"Allston Village, Allston, Boston","$1,980"
441,Danvers,"$1,450"
442,"Chinatown - Leather District, Boston","$4,669"
443,"Commonwealth, Brighton, Boston","$1,800"
444,"Commonwealth, Brighton, Boston","$1,900"
445,"D Street - West Broadway, South Boston, Boston","$2,250"
446,Medfield,"$1,297"
447,Medfield,"$1,081"
448,"Seaport District, D Street - West Broadway, South Boston, Boston","$5,690"
449,"Commonwealth, Brighton, Boston","$1,925"
450,"St. Elizabeth's, Brighton, Boston","$1,950"
451,"Commonwealth, Brighton, Boston","$1,975"
452,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,300"
453,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350"
454,Dracut,"$1,428"
455,"Proctor, Peabody","$1,750"
456,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,587"
457,"St. Elizabeth's, Brighton, Boston","$1,790"
458,"Commonwealth, Brighton, Boston","$1,800"
459,"Commonwealth, Brighton, Boston","$1,925"
460,"Commonwealth, Brighton, Boston","$1,925"
461,"Commonwealth, Brighton, Boston","$2,195"
462,"Commonwealth, Brighton, Boston","$2,195"
463,"Commonwealth, Brighton, Boston","$2,235"
464,"Commonwealth, Brighton, Boston","$2,240"
465,"Downtown Boston, Boston","$3,680"
466,"Commonwealth, Brighton, Boston","$2,250"
467,Danvers,"$1,600"
468,"Washington Square, Brookline","$1,895"
469,"Wollaston, Quincy","$1,695"
470,"Waterfront, North End, Boston","$2,600"
471,"Angleside, Waltham","$1,920"
472,"Downtown Boston, Boston","$3,095"
473,"Central Maverick Square - Paris Street, East Boston, Boston","$1,650"
474,"Central Maverick Square - Paris Street, East Boston, Boston","$2,400"
475,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,762"
476,"Downtown Boston, Boston","$5,025"
477,"Angleside, Waltham","$1,300"
478,"Commonwealth, Brighton, Boston","$1,925"
479,"Central Maverick Square - Paris Street, East Boston, Boston","$2,048"
480,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,504"
481,"North End, Boston","$3,175"
482,"Lakeview, Waltham","$1,970"
483,"Shakerhill, Woburn","$1,945"
484,"Downtown Boston, Boston","$14,500"
485,"Prudential - St. Botolph, Back Bay, Boston","$4,010"
486,"Central Maverick Square - Paris Street, East Boston, Boston","$2,700"
487,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,176"
488,"West Revere, Revere","$2,240"
489,"West Revere, Revere","$1,695"
490,"Downtown Boston, Boston","$3,585"
491,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,733"
492,"Downtown Boston, Boston","$5,200"
493,"Prudential - St. Botolph, Back Bay, Boston","$4,700"
494,"Riverside, Cambridge","$2,320"
495,"Riverside, Cambridge","$2,755"
496,"West End, Boston","$3,685"
497,"St. Elizabeth's, Brighton, Boston","$2,600"
498,"Prudential - St. Botolph, Back Bay, Boston","$3,680"
499,"Prudential - St. Botolph, Back Bay, Boston","$3,880"
500,"Prudential - St. Botolph, Back Bay, Boston","$4,490"
501,"East Cambridge, Cambridge","$2,979"
502,"Commonwealth, Brighton, Boston","$2,595"
503,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,525"
504,"Chinatown - Leather District, Boston","$4,035"
505,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,447"
506,"Powder House, Somerville","$2,405"
507,"Central Maverick Square - Paris Street, East Boston, Boston","$2,450"
508,"East Arlington, Arlington","$3,400"
509,"South Medford, Medford","$3,000"
510,"Chinatown - Leather District, Boston","$3,286"
511,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,923"
512,"Colonial Heights, Lawrence","$1,555"
513,"Chinatown - Leather District, Boston","$4,623"
514,"Quincy Point, Quincy","$1,355"
515,"North End, Boston","$2,900"
516,"Neighborhood Nine, Cambridge","$2,400"
517,"Neighborhood Nine, Cambridge","$2,250"
518,"Neighborhood Nine, Cambridge","$2,400"
519,"Jeffries Point - Airport, East Boston, Boston","$3,000"
520,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,800"
521,"North End, Boston","$3,085"
522,"Highlands, Lowell","$1,395"
523,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,383"
524,"Cambridgeport, Cambridge","$2,800"
525,"Downtown Medford, Medford","$1,700"
